No.,Tanggal,Nomor,ATM ID,Lokasi,Jenis Layanan,Laporan Kerusakan,Pekerjaan Dilakukan,Nomor Tiket,Penggantian Sparepart,Jumlah Part,Status,CSE,Pilihan
,,,,,,,,,Stripper Wheel ,2 , ,Rajamin Nasution ,
,,,,,,,,,Take Away wheel ,2 , ,Rajamin Nasution ,
94,23 Maret 2020,83005,ATM20002034,INDOMARET MENTENG 7,Error & PM ,Hardware ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
95,13 Juni 2020,87427,ATM20002038,,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
96,09 Mei 2020,87429,ATM20002038,,Error & PM ,Preventive Maintenance ,"Check & Clean all devices, install ulang os atm, no replace, test OK. ", , , , ,Rajamin Nasution ,
97,17 Maret 2020,83006,ATM20002041,CENTER POINT,Error & PM ,Hardware ,"Check & Clean all devices, replace EPP,  test OK. ",200303211 ,"EPP5(BSC),LGE,STTL,ENG(AU),QZ1,BLANK,X,I,O ",1 , ,Rajamin Nasution ,
98,06 Agustus 2020,87405,ATM20002043,KK LUBUK PAKAM,Installation ,Installation ,"Instalasi ATM, Check all devices, test OK. ", ,Feedshaft *OPTEVA* ,2 , ,Rajamin Nasution ,
,,,,,,,,,Stripper SnapOnWheel Wide Standard  *** NEW *** ,2 , ,Rajamin Nasution ,
,,,,,,,,,WHL T/A OVRMLD ( TAKE AWAY SNAP ON WHEEL ** NEW ** ,2 , ,Rajamin Nasution ,
99,19 Oktober 2020,89397,ATM20002043,KK LUBUK PAKAM,Support ,Hardware ,"Check & Clean all devices, no replace, test OK. ", , , , ,Rajamin Nasution ,
100,12 Agustus 2020,87407,ATM20002044,KK STABAT,Installation ,Installation ,"Instalasi ATM, Check all devices, test OK. ", ,Feedshaft *OPTEVA* ,2 , ,Rajamin Nasution ,
,,,,,,,,,Stripper SnapOnWheel Wide Standard  *** NEW *** ,2 , ,Rajamin Nasution ,
,,,,,,,,,WHL T/A OVRMLD ( TAKE AWAY SNAP ON WHEEL ** NEW ** ,2 , ,Rajamin Nasution ,
101,28 Maret 2020,82347,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
102,29 Mei 2020,82314,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
103,17 Februari 2020,85014,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
104,30 Juli 2020,86288,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
105,05 Agustus 2020,86344,ATM20003001,BKP PADANG 1,PM 2 ,Hardware ,"General Maintenance, Check & Clean all device, Input Master Key, test OK. ", , , , ,Doni Indra ,
106,10 Januari 2020,85043,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
107,29 September 2020,86277,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
108,30 April 2020,82330,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
109,28 November 2020,86306,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
110,30 Juni 2020,82305,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
111,27 Oktober 2020,86329,ATM20003001,BKP PADANG 1,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
112,10 Desember 2020,90788,ATM20003001,BKP PADANG 1,Installation ,Installation ,"Instalasi ATM, Check all devices, test OK. ", , , , ,Doni Indra ,
113,29 Mei 2020,82311,ATM20003002,SPBU KHATIB SULAIMAN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
